Ngày,Tổng số ca mắc,Tổng số ca tử vong,Tổng số ca phục hồi,Số ca mắc mới hàng ngày
8/18/2020,989,26,526,6
8/19/2020,994,25,533,5
8/20/2020,1007,25,542,13
8/21/2020,1009,25,545,2
8/22/2020,1014,26,563,5
8/23/2020,1016,27,568,2
8/24/2020,1022,27,587,6
8/25/2020,1029,27,592,7
8/26/2020,1034,30,632,5
8/27/2020,1036,30,637,2
8/28/2020,1038,30,663,2
8/29/2020,1040,32,677,2
8/30/2020,1040,32,695,0
8/31/2020,1044,34,707,4
9/1/2020,1044,34,735,0
9/2/2020,1046,34,746,2
9/3/2020,1046,35,755,0
9/4/2020,1049,35,772,3
9/5/2020,1049,35,805,0
9/6/2020,1049,35,815,0
9/7/2020,1049,35,853,0
9/8/2020,1054,35,868,5
9/9/2020,1059,35,890,5
9/10/2020,1059,35,893,0
9/11/2020,1060,35,902,1
9/12/2020,1060,35,910,0
9/13/2020,1063,35,918,3
9/14/2020,1063,35,926,0
9/15/2020,1063,35,931,0
9/16/2020,1063,35,936,0
9/17/2020,1066,35,940,3
9/18/2020,1068,35,941,2
9/19/2020,1068,35,942,0
9/20/2020,1068,35,942,0
9/21/2020,1068,35,947,0
9/22/2020,1068,35,957,0
9/23/2020,1069,35,991,1
9/24/2020,1069,35,991,0
9/25/2020,1069,35,999,0
9/26/2020,1069,35,999,0
9/27/2020,1074,35,999,5
9/28/2020,1077,35,999,3
9/29/2020,1094,35,1007,17
9/30/2020,1094,35,1010,0
10/1/2020,1095,35,1010,1
10/2/2020,1096,35,1020,1
10/3/2020,1096,35,1020,0
10/4/2020,1096,35,1020,0
10/5/2020,1097,35,1022,1
10/6/2020,1098,35,1023,1
10/7/2020,1099,35,1023,1
10/8/2020,1100,35,1023,1
10/9/2020,1105,35,1024,5
10/10/2020,1107,35,1024,2
10/11/2020,1109,35,1024,2
10/12/2020,1110,35,1025,1
10/13/2020,1113,35,1025,3
10/14/2020,1122,35,1029,9
10/15/2020,1124,35,1030,2
10/16/2020,1124,35,1031,0
10/17/2020,1126,35,1031,2
10/18/2020,1134,35,1031,8
10/19/2020,1140,35,1046,6
10/20/2020,1141,35,1046,1
10/21/2020,1144,35,1046,3
10/22/2020,1148,35,1049,4
10/23/2020,1148,35,1049,0
10/24/2020,1160,35,1051,12
10/25/2020,1168,35,1057,8
10/26/2020,1169,35,1061,1
10/27/2020,1172,35,1062,3
10/28/2020,1173,35,1062,1
10/29/2020,1177,35,1062,4
10/30/2020,1177,35,1062,0
10/31/2020,1180,35,1062,3
11/1/2020,1180,35,1063,0
11/2/2020,1192,35,1065,12
11/3/2020,1202,35,1069,10
11/4/2020,1203,35,1069,1
11/5/2020,1207,35,1069,4
11/6/2020,1212,35,1070,5
11/7/2020,1213,35,1070,1
11/8/2020,1213,35,1070,0
11/9/2020,1215,35,1087,2
11/10/2020,1226,35,1087,11
11/11/2020,1252,35,1087,26
11/12/2020,1253,35,1093,1
11/13/2020,1256,35,1101,3
11/14/2020,1265,35,1103,0
11/15/2020,1281,35,1103,25
11/16/2020,1283,35,1124,2
11/17/2020,1288,35,1124,5
11/18/2020,1300,35,1124,12
11/19/2020,1304,35,1142,4
11/20/2020,1305,35,1142,1
11/21/2020,1306,35,1142,1
11/22/2020,1307,35,1142,1
11/23/2020,1312,35,1151,5
11/24/2020,1316,35,1153,4
11/25/2020,1321,35,1153,5
11/26/2020,1331,35,1166,10
11/27/2020,1339,35,1170,8
11/28/2020,1341,35,1179,2
11/29/2020,1343,35,1179,2
11/30/2020,1347,35,1179,4
12/1/2020,1351,35,1195,4
12/2/2020,1358,35,1201,7
12/3/2020,1361,35,1209,3
12/4/2020,1361,35,1220,0
12/5/2020,1365,35,1220,4
12/6/2020,1366,35,1220,1
12/7/2020,1367,35,1224,1
12/8/2020,1377,35,1224,10
12/9/2020,1381,35,1225,4
12/10/2020,1385,35,1225,4
12/11/2020,1391,35,1238,6
12/12/2020,1395,35,1238,4
12/13/2020,1397,35,1241,2
12/14/2020,1402,35,1246,5
12/15/2020,1405,35,1252,3
12/16/2020,1405,35,1252,0
12/17/2020,1407,35,1263,2
12/18/2020,1410,35,1266,3
12/19/2020,1411,35,1269,1
12/20/2020,1413,35,1269,2
12/21/2020,1414,35,1269,1
12/22/2020,1420,35,1281,6
12/23/2020,1421,35,1281,1
12/24/2020,1432,35,1281,11
12/25/2020,1439,35,1303,7
12/26/2020,1440,35,1303,1
12/27/2020,1441,35,1303,1
12/28/2020,1451,35,1303,10
12/29/2020,1454,35,1319,3
12/30/2020,1456,35,1323,2
12/31/2020,1465,35,1325,9
1/1/2021,1474,35,1325,9
1/2/2021,1482,35,1337,8
1/3/2021,1494,35,1339,12
1/4/2021,1497,35,1339,3
1/5/2021,1504,35,1339,7
1/6/2021,1505,35,1353,1
1/7/2021,1509,35,1353,4
1/8/2021,1512,35,1357,3
1/9/2021,1513,35,1361,1
1/10/2021,1514,35,1361,1
1/11/2021,1515,35,1361,1
1/12/2021,1520,35,1361,5
1/13/2021,1521,35,1369,1
1/14/2021,1531,35,1369,10
1/15/2021,1536,35,1380,5
1/16/2021,1537,35,1380,1
1/17/2021,1537,35,1380,0
1/18/2021,1539,35,1402,2
1/19/2021,1540,35,1402,1
1/20/2021,1544,35,1406,4
1/21/2021,1546,35,1411,2
1/22/2021,1548,35,1411,2
1/23/2021,1548,35,1411,0
1/24/2021,1548,35,1411,0
1/25/2021,1549,35,1425,1
1/26/2021,1551,35,1430,2
1/27/2021,1553,35,1430,0
1/28/2021,1651,35,1430,91
1/29/2021,1657,35,1448,63
1/30/2021,1767,35,1456,62
1/31/2021,1817,35,1457,50
2/1/2021,1850,35,1460,33
2/2/2021,1882,35,1460,32
2/3/2021,1948,35,1461,29
2/4/2021,1957,35,1465,46
2/5/2021,1976,35,1465,19
2/6/2021,1985,35,1468,5
2/7/2021,2001,35,1472,20
2/8/2021,2050,35,1472,49
2/9/2021,2064,35,1472,14
2/10/2021,2091,35,1480,27
2/11/2021,2140,35,1528,49
2/12/2021,2142,35,1529,2
2/13/2021,2195,35,1529,53
